Label,Title,Description
bug,หน้าจัดเก็บเอกสารไม่สามารถจัดเก็บเอกสารได้,หน้าจัดเก็บเอกสารทดสอบดังนี้1กรอกข้อมูลรหัสแฟ้มกรอกข้อมูลชื่อแฟ้มกำหนดวันที่สามารถยืมได้2เปลี่ยนใจไม
bug,แจ้งเตือนย้ายภายในห้องเมื่อmanagerคลิกที่รายการแจ้งเตือนขออนุมัติการย้ายระบบแสดงป๊อบอัพไม่พบสิทธิ์การใช้งาน,แจ้งเตือนย้ายภายในห้องเมื่อloginเข้าระบบหรืออยู่ที่หน้ารายการห้องเอกสารเมื่อคลิกที่แจ้งเตือนรายการขอ
bug,ย้ายเอกสารไปคลังภายนอกรายการกล่องที่จะแสดงที่หน้าค้นหาเพื่อย้ายไปคลังภายนอก,ย้ายเอกสารไปคลังภายนอกรายการกล่องที่จะแสดงที่หน้าค้นหาเพื่อย้ายไปคลังภายนอกจะต้องมีเงื่อนไขดังนี้1เป
bug,หน้าจัดเก็บเอกสารรหัสแฟ้มต้องไม่ซ้ำกัน,หน้าจัดเก็บเอกสารรหัสแฟ้มต้องไม่ซ้ำกันหากผู้ใช้งานกรอกรหัสเดียวกันกับที่มีอยู่ในระบบระบบต้องแจ้งเตือ
bug,หน้าเพิ่มกล่องเข้าชั้นแก้ไขรหัสกล่องและชื่อกล่องจากนั้นกดปุ่มล้างข้อมูลแต่ระบบบันทึกข้อมูลที่แก้ไข,หน้าเพิ่มกล่องเข้าชั้นแก้ไขรหัสกล่องและชื่อกล่องเมื่อกดปุ่มล้างข้อมูลระบบต้องไม่บันทึกข้อมูล
bug,หน้าสร้างตู้แก้ไขรหัสตู้และชื่อตู้จากนั้นกดปุ่มยกเลิกแต่ระบบบันทึกข้อมูลที่แก้ไข,หน้าสร้างตู้แก้ไขรหัสตู้และชื่อตู้เมื่อกดปุ่มยกเลิกระบบต้องไม่บันทึกข้อมูล
bug,หน้าสร้างพื้นที่แก้ไขรหัสพื้นที่และชื่อพื้นที่จากนั้นกดปุ่มยกเลิกแต่ระบบบันทึกข้อมูลที่แก้ไข,หน้าสร้างพื้นที่แก้ไขรหัสพื้นที่และชื่อพื้นที่เมื่อกดปุ่มยกเลิกระบบต้องไม่บันทึกข้อมูล
enhancement,แจ้งเตือนทำscrollbarเพื่อเลื่อนดูรายการแจ้งเตือน,แจ้งเตือนทำscrollbarเพื่อเลื่อนดูรายการแจ้งเตือน
enhancement,หน้าจัดเก็บเอกสารจัดเรียงลำดับการแสดงข้อมูลใหม่,หน้าจัดเก็บเอกสารเรียงลำดับการแสดงข้อมูลใหม่โดยเรียงลำดับดังนี้พื้นที่ตู้ชั้นช่องรหัสชั้นกล่องรหัสแฟ
enhancement,หน้าเพิ่มกล่องเข้าชั้นฟิลด์พื้นที่และฟิลด์ตู้ให้นำชื่อพื้นที่และชื่อตู้มาแสดงเป็นข้อมูล,หน้าเพิ่มกล่องเข้าชั้นฟิลด์พื้นที่และฟิลด์ตู้ให้นำชื่อพื้นที่และชื่อตู้มาแสดงเป็นข้อมูล
bug,หน้าตรวจสอบอนุมัติการยืมคืนไม่สามารถค้นหาจากฟิลด์วันที่มีผลผู้ยืมผู้อนุมัติได้,หน้าตรวจสอบอนุมัติการยืมคืนไม่สามารถค้นหาจากฟิลด์วันที่มีผลผู้ยืมผู้อนุมัติได้
bug,หน้ายืมคืนเอกสารเจ้าหน้าที่คลิกปุ่มคืนได้เฉพาะรายการที่ตนเองเป็นคนยืมเท่านั้น,หน้ายืมคืนเอกสารเจ้าหน้าที่คลิกactionเช่นปุ่มคืนได้เฉพาะรายการที่ตนเองเป็นคนยืมเท่านั้นจะไม่สามารถคล
enhancement,หน้าตรวจสอบการอนุมัติยืมคืนนำฟิลด์รหัสแฟ้มวางไว้ก่อนฟิลด์แฟ้มซอง,หน้าตรวจสอบการอนุมัติยืมคืนรบกวนช่วยนำฟิลด์ข้อมูลรหัสแฟ้มวางไว้ก่อนฟิลด์ข้อมูลแฟ้มซอง
enhancement,หน้าบันทึกยืมคืนเอกสารเพิ่มฟิลด์แสดงข้อมูลรหัสแฟ้ม,หน้าบันทึกยืมคืนเอกสารรบกวนเพิ่มฟิลด์แสดงข้อมูลรหัสแฟ้มโดยวางลำดับไว้ก่อนฟิลด์ข้อมูลแฟ้มซอง
bug,ยกเลิกกล่องให้แสดงรายการกล่องที่ถูกย้ายไปคลังภายนอก,ยกเลิกกล่องให้แสดงรายการกล่องที่ถูกย้ายไปคลังภายนอกเพื่อให้ผู้ใช้งานสามารถยกเลิกการใช้งานกล่องได้
bug,หน้าบันทึกย้ายเอกสารต้นฉบับฟิลด์ข้อมูลรหัสตู้แต่นำชื่อตู้มาแสดง,หน้าบันทึกยืมคืนเอกสารต้นฉบับฟิลด์ข้อมูลรหัสตู้แต่ระบบนำชื่อตู้มาแสดง
enhancement,หน้าบันทึกย้ายเอกสารต้นฉบับเพิ่มข้อมูลรหัสตู้ที่ป๊อบอัพแสดงรายละเอียดตู้ชั้นช่องที่ย้ายมา,หน้าบันทึกย้ายเอกสารต้นฉบับเพิ่มข้อมูลรหัสตู้ที่ป๊อบอัพแสดงรายละเอียดตู้ชั้นช่องที่ย้ายมาเนื่องจากหน
bug,แจ้งเตือนอนุมัตการยืมเมื่อเจ้าหน้าที่คลิกรายการแจ้งเตือนระบบต้องเปลี่ยนไปหน้ายืมคืนเอกสารออกจากตู้,แจ้งเตือนอนุมัตการยืมเมื่อmanagerอนุมัติการยืมเอกสารจะมีรายการแจ้งเตือนไปยังเจ้าหน้าที่เมื่อเจ้าหน้า
enhancement,คืนเอกสารป๊อบอัพแสดงข้อมูลเมื่อคลิกปุ่มคืนให้แสดงข้อมูลห้องจัดเก็บเอกสารด้วย,คืนเอกสารป๊อบอัพแสดงข้อมูลเมื่อคลิกปุ่มคืนให้แสดงข้อมูลห้องเก็บเอกสารและแสดงข้อมูลชั้นช่องแทนรหัสช่อ
bug,หน้าบันทึกย้ายเอกสารต้นฉบับAdminและManagerไม่เห็นรายการย้ายภายในห้อง,หน้าบันทึกย้ายเอกสารต้นฉบับถ้าเป็นเจ้าหน้าที่จะเห็นเฉพาะรายการที่ตนเองย้ายแต่ถ้าเป็นManagerและAdminจ
bug,ีuserต้องไม่เห็นข้อมูลของห้องจัดเก็บเอกสารที่ตนเองไม่มีสิทธิ์,useryadawrไม่มีสิทธิ์ในห้องMuttWangแต่เมื่อloginเข้าระบบแล้วกดปุ่มก่อนหน้าของBrowserจะปรากฏป๊อบอัพแส
bug,หน้าloginเข้าระบบต้องกรอกทั้งusernameและpasswordจึงจะสามารถเข้าระบบได้,หน้าloginเข้าระบบuserอื่นๆที่ไม่ใช่Adminกรอกแค่usernameแล้วคลิกปุ่มเข้าสู่ระบบก็สามารถเข้าใช้งานระบบ
bug,หน้าสร้างตู้เอกสารไม่สามารถลบตู้ออกได้,หน้าสร้างตู้เอกสารทำการสร้างตู้ขึ้นมายังไม่ได้เพิ่มข้อมูลอะไรในตู้แต่ไม่สามารถลบตู้ออกได้ทั้งสิทธิ์A
bug,จัดเก็บเอกสารไม่สามารถลบข้อมูลได้,รบกวนช่วยตรวจสอบกรณีไม่สามารถลบข้อมูลเอกสารที่จัดเก็บลงกล่องได้ค่ะ
bug,เพิ่มกล่องเข้าชั้นไม่สามารถลบข้อมูลได้,รบกวนช่วยตรวจสอบกรณีไม่สามารถลบข้อมูลการเพิ่มกล่องเข้าชั้นได้ค่ะรายละเอียดตามภาพด้านล่าง
bug,ย้ายเอกสารภายนอกย้ายเอกสารภายในระบบล้างค่าselectallออกไม่หมด,ย้ายเอกสารภายนอกย้ายเอกสารภายในหน้าค้นหากล่องที่จะย้ายเมื่อคลิกselectallแล้วปิดไปจากนั้นคลิกปุ่มค้นห
bug,หน้าตรวจสอบอนุมัติการยืมคืนรายการยืมเอกสารของเจ้าหน้าที่ไม่แสดงที่หน้าตรวจสอบอนุมัติยืมคืนของmanager,เจ้าหน้าที่ยืมเอกสารแต่รายการที่ยืมไม่แสดงที่หน้าตรวจสอบอนุมัติยืมคืนของmanager
bug,ย้ายเอกสารภายนอกรายการกล่องที่ย้ายไปแล้วต้องไม่แสดงในหน้าค้นหาอีก,ย้ายเอกสารไปคลังภายนอกรายการกล่องที่ย้ายไปแล้วต้องไม่แสดงในหน้าค้นหาอีก
bug,ย้ายเอกสารภายนอกFieldรหัสตู้แต่ระบบนำชื่อตู้มาแสดง,หน้าค้นหากล่องที่จะย้ายไปคลังภายนอกที่fieldรหัสตู้แต่ระบบนำชื่อตู้มาแสดงค่ะ
bug,ย้ายเอกสารภายในห้องFieldรหัสตู้แต่ระบบนำชื่อตู้มาแสดง,รบกวนช่วยแก้ไขการแสดงข้อมูลไม่ถูกต้องให้ด้วยค่ะหน้าจอค้นหาการย้ายเอกสารภายในห้องที่fieldรหัสตู้แต่ระ
enhancement,บันทึกยืมคืนเอกสารแก้ไขการแสดงวันที่คืนกรณีเจ้าหน้าที่เป็นคนคืนเอกสาร,รบกวนช่วยแก้ไขการแสดงวันที่คืนเอกสารกรณีเจ้าหน้าที่เป็นคนคืนเอกสารให้แสดงวันที่คืนก็ต่อเมื่อมีสถานะค
bug,หน้าสร้างพื้นที่ย่อยเพิ่มข้อมูลระบบไม่แสดงfieldผู้สร้างและผู้แก้ไขให้ทันที,รบกวนช่วยตรวจสอบกรณีเพิ่มข้อมูลพื้นที่ย่อยแล้วระบบไม่แสดงfieldผู้สร้างและผู้แก้ไขให้ทันทีค่ะต้องrefr
enhancement,หน้าสร้างชั้นช่องเอกสารตรงdisplayชื่อตู้และพื้นที่ให้codeของตู้และพื้นที่ด้วย,ตรงdisplayชื่อตู้และพื้นที่ให้codeของตู้และพื้นที่ด้วยเช่นตู้1CB01พื้นที่โซน1Zone1codeของตู้และพื้นท
enhancement,รายงานเอกสารที่ถูกทำลายExportข้อมูลในรูปแบบExcel,มีปุ่มให้userกดเพื่อExportข้อมูลออกมาในรูปแบบExcel
enhancement,รายงานย้ายเอกสารไปคลังภายนอกExportข้อมูลในรูปแบบExcel,มีปุ่มให้userกดเพื่อExportข้อมูลออกมาในรูปแบบExcel
enhancement,รายงานพื้นที่ที่ถูกใช้เก็บเอกสารและพื้นที่ว่างExportข้อมูลออกมาในรูปแบบExcel,มีปุ่มให้userกดเพื่อExportข้อมูลออกมาในรูปแบบExcel
enhancement,รายงานเอกสารที่ถูกยืมไปและยังไม่ได้รับคืนExportข้อมูลออกมาในรูปแบบExcel,มีปุ่มให้userกดเพื่อExportข้อมูลออกมาในรูปแบบExcel
enhancement,รายงานเอกสารที่ถูกยืมไปและยังไม่ได้รับคืนเพิ่มรายละเอียดวันที่ครบกำหนดคืน,รายการเอกสารที่มีการกำหนดจำนวนวันที่สามารถยืมได้ให้แสดงรายละเอียดวันที่ครบกำหนดคืนด้วย
enhancement,รายงานสถิติการเบิกยืมเอกสารห้องเก็บเอกสารExportข้อมูลออกมาในรูปแบบExcel,มีปุ่มให้userกดเพื่อExportข้อมูลออกมาในรูปแบบExcel
enhancement,รายงานสถิติการเบิกยืมเอกสารห้องเก็บเอกสารการแสดงรายละเอียดของสถิติ,เมื่อคลิกจำนวนสถิติการยืมให้แสดงรายละเอียดการยืมได้แก่ชื่อผู้ยืมวันที่ยืมวันที่คืน
enhancement,ย้ายไปคลังภายนอกฟิลด์ข้อมูลที่ใช้ค้นหากล่องที่ต้องการย้ายให้แสดงให้ตรงกับข้อมูลหน้าบันทึกการย้ายเอกสาร,ฟิลด์ข้อมูลที่ใช้ค้นหากล่องที่ต้องการย้ายให้แสดงให้ตรงกับข้อมูลหน้าบันทึกการย้ายเอกสารเช่นรายละเอียด
enhancement,ย้ายไปคลังภายนอกให้แสดงสถานที่และเลขกล่องเอกสารที่ย้ายไป,ย้ายไปคลังภายนอกหน้าบันทึกการย้ายเอกสารให้แสดงสถานที่และเลขกล่องที่ย้ายไป
enhancement,ย้ายเอกสารไปคลังภายนอกเพิ่มcheckboxให้สามารถคลิกย้ายได้มากกว่า1กล่อง,เพิ่มcheckboxให้สามารถคลิกย้ายได้มากกว่า1กล่อง
enhancement,ย้ายเอกสารภายในห้องฟิลด์ข้อมูลที่ใช้ค้นหากล่องให้แสดงให้ตรงกับข้อมูลหน้าบันทึกการย้ายเอกสาร,ฟิลด์ข้อมูลที่ใช้ค้นหากล่องที่ต้องการย้ายให้แสดงให้ตรงกับข้อมูลหน้าบันทึกการย้ายเอกสารเช่นรายละเอียด
enhancement,ย้ายเอกสารภายในห้องหน้าบันทึกย้ายเอกสารต้นฉบับให้แสดงรายละเอียดพื้นที่ตู้ชั้นช่องที่ย้ายไปด้วย,ย้ายเอกสารภายในห้องที่หน้าบันทึกย้ายเอกสารต้นฉบับให้แสดงรายละเอียดพื้นที่ตู้ชั้นช่องที่ย้ายไปด้วย
enhancement,ย้ายเอกสารภายในห้องหน้าค้นหากล่องที่ต้องการย้ายให้freezeหัวตารางไว้,หน้าค้นหากล่องที่ต้องการย้ายให้freezeหัวตารางไว้
enhancement,ย้ายเอกสารภายในห้องเพิ่มcheckboxให้สามารถคลิกย้ายกล่องได้มากกว่า1กล่อง,ย้ายเอกสารภายในห้องให้เพิ่มcheckboxเพื่อให้สามารถคลิกย้ายกล่องได้มากกว่า1กล่อง
enhancement,ตรวจสอบการอนุมัติยืมคืนหน้าแสดงรายการอนุมัติยืมคืนให้แสดงฟิลด์ข้อมูลรหัสแฟ้มด้วย,หน้าแสดงรายการอนุมัติยืมคืนให้แสดงฟิลด์ข้อมูลรหัสแฟ้มด้วย
enhancement,หน้าบันทึกการยืมคืนเอกสารให้แสดงวันที่คืนเอกสารด้วย,หน้าบันทึกการยืมคืนเอกสารให้แสดงวันที่คืนเอกสารด้วย
enhancement,หน้ายืมเอกสารการค้นหาเอกสารเพื่อยืม,นอกจากจะค้นหาเอกสารได้จากรหัสแฟ้มแล้วให้ค้นหาจากชื่อแฟ้มและชื่อผู้ที่จัดเก็บเอกสารได้ด้วย
enhancement,หน้ายืมเอกสารที่หน้าค้นหาเอกสารเพื่อยืมให้แสดงชื่อผู้จัดเก็บเอกสารด้วย,ที่หน้าค้นหาเอกสารเพื่อยืมให้แสดงชื่อผู้จัดเก็บเอกสารด้วย
enhancement,หน้าจัดเก็บเอกสารแสดงชื่อuserที่เป็นผู้สร้างและชื่อuserที่เป็นผู้แก้ไข,แสดงชื่อuserที่เป็นผู้สร้างCreatedและชื่อuserที่เป็นผู้แก้ไขModifiedและมีlogการแก้ไขและชื่อuserที่เป
enhancement,หน้าเพิ่มกล่องเข้าชั้นเพิ่มปุ่มจัดเก็บเอกสารลงกล่อง,เพิ่มปุ่มจัดเก็บเอกสารลงกล่องเมื่อคลิกแล้วจะไปที่หน้าให้จัดเก็บเอกสารลงกล่อง
enhancement,หน้าเพิ่มกล่องเข้าชั้นแสดงชื่อuserที่เป็นผู้สร้างและชื่อuserที่เป็นผู้แก้ไข,หน้าเพิ่มกล่องเข้าชั้นให้แสดงชื่อuserที่เป็นผู้สร้างCreatedและชื่อuserที่เป็นผู้แก้ไขModifiedและมีlo
enhancement,หน้าสร้างชั้นช่องแสดงชื่อuserที่เป็นผู้สร้างและชื่อuserที่เป็นผู้แก้ไข,หน้าสร้างชั้นช่องแสดงชื่อuserที่เป็นผู้สร้างCreatedและชื่อuserที่เป็นผู้แก้ไขModifiedและมีlogการแก้ไ
enhancement,หน้าสร้างชั้นช่องให้สามารถคีย์ตัวเลขลงในช่องกรอกข้อมูลจำนวนกล่องที่สามารถใส่ได้,ที่ช่องกรอกข้อมูลจำนวนกล่องที่สามารถใส่ได้ให้สามารถคีย์ตัวเลขได้
enhancement,หน้าสร้างตู้เอกสารให้แสดงชื่อuserที่เป็นผู้สร้างและชื่อuserที่เป็นผู้แก้ไข,หน้าสร้างตู้เอกสารให้แสดงชื่อuserที่เป็นผู้สร้างCreatedและชื่อuserที่เป็นผู้แก้ไขModifiedตู้และมีlog
enhancement,หน้าสร้างพื้นที่ย่อยให้แสดงชื่อuserที่เป็นผู้สร้างและชื่อuserที่เป็นผู้แก้ไข,การสร้างพื้นที่ย่อยและแก้ไขให้แสดงชื่อuserที่เป็นผู้สร้างCreatedและชื่อuserที่เป็นผู้แก้ไขModifiedพื
enhancement,ทำalertแจ้งเตือนการยืมคืนย้ายเอกสารทั้งในรูปแบบEmailและFacebook,มีalertแจ้งเตือนการยืมคืนย้ายเอกสารทั้งในรูปแบบEmailใช้emailจากprofileในalfrescoและแจ้งเตือนบนระบบแบ
bug,ทำลายเอกสารทำลายเอกสารแล้วแต่เอกสารกลับมาแสดงให้ทำลายอีกครั้ง,รบกวนช่วยดำเนินการตรวจสอบกรณีทำลายเอกสารเรียบร้อยแล้วแต่เมื่อกดปุ่มล้างข้อมูลพบว่าเอกสารที่ทำลายกลับ
bug,ยกเลิกกล่องเอกสารระบบไม่แสดงกล่องเอกสารที่สามารถยกเลิกได้,รบกวนช่วยดำเนินการตรวจสอบกรณีระบบไม่แสดงกล่องเอกสารที่สามารถยกเลิกได้ค่ะตัวอย่างรหัสกล่อง222ไม่มีเอก
bug,ย้ายเอกสารภายในลบnbsp,หน้าย้ายเอกสารภายในลบnbspออกให้ด้วยค่ะ
enhancement,รายงานเอกสารที่ถูกยืมไปและยังไม่ได้รับคืนแก้ไขfiltersearchสถานะให้fixเป็นสถานะยืมเอกสาร,รบกวนช่วยดำเนินการแก้ไขfiltersearchสถานะให้fixเป็นสถานะยืมเอกสารค่ะ
